_fid;art;zaehlstelle;bezeichnung;hinweis;dtv_2015;dtvw_2015;dtv_2016;dtvw_2016;dtv_2017;dtvw_2017;dtv_2018;dtvw_2018;dtv_2019;dtvw_2019;dtv_2020;dtvw_2020;dtv_2021;dtvw_2021;dtv_2022;dtvw_2022;dtv_2023;dtvw_2023;dtv_2024;dtvw_2024;geom;coordinate_reference_system
DE.HH.UP_RADVERKEHR_DTV_DTVW_1;Infrarotsensor;0295970;Krugkoppel SW Leinpfad (30.1/30.2);;-;-;-;-;-;-;-;-;-;-;-;-;6616;7238;6193;6991;5697;6478;;;POINT (566146.984000 5937249.994000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_2;Infrarotsensor;0295910;Leinpfad NW Krugkoppel (36.1);;-;-;-;-;-;-;-;-;-;-;-;-;2920;3213;3120;3514;2850;3239;;;POINT (566174.729000 5937316.033000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_3;Infrarotsensor;7434930;Hamburger Straße NO Elsastraße (39.5/39.6);;-;-;-;-;-;-;-;-;-;-;-;-;2521;2890;-;2951;2547;2969;;;POINT (568633.688000 5936817.541000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_4;Infrarotsensor;6894920;Kirchdorfer Straße N Otto-Brenner-Straße (16.3/16.4);;-;-;-;-;-;-;-;-;-;-;-;-;216;220;229;239;226;238;;;POINT (567583.235000 5927448.280000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_5;Infrarotsensor;7302960;Alte Holstenstraße S Ludwig-Rosenberg-Ring (47.1);;-;-;-;-;-;-;-;-;-;-;-;-;743;801;980;1082;873;952;;;POINT (580120.029000 5927614.478000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_6;Infrarotsensor;7414960;Kollaustraße S Sootbörn (35.1/35.2);;-;-;-;-;-;-;-;-;-;-;-;-;1684;1886;1866;2129;1712;1963;;;POINT (562886.349000 5941328.634000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_7;Infrarotsensor;7433950;Hoheluftchaussee SO Eppendorfer Weg (31.5/31.6);;-;-;-;-;-;-;-;-;-;-;-;-;3893;4398;4155;4718;3800;4331;;;POINT (564392.063000 5937392.708000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_8;Infrarotsensor;6894950;Otto-Brenner-Straße SO Kirchdorfer Straße (16.1/16.2);;-;-;-;-;-;-;-;-;-;-;-;-;307;317;329;346;317;336;;;POINT (567617.412000 5927345.956000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_9;Infrarotsensor;7068920;Oberer Landweg N Ladenbeker Furtweg (48.1/48.2);;-;-;-;-;-;-;-;-;-;-;-;-;1228;1366;1349;1515;-;-;;;POINT (578715.175000 5927387.696000);EPSG:25832
DE.HH.UP_RADVERKEHR_DTV_DTVW_10;Infrarotsensor;6779940;Hartwicusstraße O Papenhuder Straße (37.3);;-;-;-;-;-;-;-;-;-;-;-;-;789;841;916;1006;868;965;;;POINT (567549.186000 5935740.694000);EPSG:25832
